Nummer;Vorname;Nachname;Geburtsdatum;Position;Heimatverein
1;Manuel;Neuer;27.03.1986;Tor;Bayern München
12;Bernd;Leno;04.03.1992;Tor;Bayer 04 Leverkusen
22;Marc-Andre;ter Stegen;30.04.1992;Tor;FC Barcelona
2;Shkodran;Mustafi;17.04.1992;Abwehr;FC Valencia
3;Jonas;Hector;27.05.1990;Abwehr;1.FC Köln
4;Benedikt;Höwedes;29.02.1988;Abwehr;FC Schalke 04
5;Mats;Hummels;16.12.1988;Abwehr;Borussia Dortmund
14;Emre;Can;12.01.1994;Abwehr;FC Liverpool
16;Antonio;Rüdiger;03.03.1993;Abwehr;AS Rom
16;Jonathan;Tah;11.02.1996;Abwehr;Bayer 04 Leverkusen
17;Jerome;Boateng;03.09.1988;Abwehr;Bayern München
6;Sami;Khedira;04.04.1987;Mittelfeld;Juventus Turin
7;(Kap.)Bastian;Schweinsteiger;01.08.1984;Mittelfeld;Manchester United
8;Mesut;Özil;15.10.1988;Mittelfeld;FC Arsenal
9;Andre;Schürrle;06.11.1990;Mittelfeld;VfL Wolfsburg
10;Lukas;Podolski;04.06.1985;Mittelfeld;Galatasary Istanbul
11;Julian;Draxler;20.09.1993;Mittelfeld;VfL Wolfsburg
13;Thomas;Müller;13.09.1985;Mittelfeld;Bayern München
15;Julian;Weigl;08.09.1995;Mittelfeld;Borussia Dortmund
18;Toni;Kroos;04.01.1990;Mittelfeld;Real Madrid
21;Joshua;Kimmich;08.02.1995;Mittelfeld;FC Bayern München
19;Mario;Götze;03.06.1992;Sturm;Bayern München
20;Leroy;Sané;11.01.1996;Sturm;FC Schalke 04
23;Mario;Gomez;10.07.1985;Sturm;Besiktas Istanbul
